local_15min,solar
7/8/14 0:00,0.001
7/8/14 0:15,0.001
7/8/14 0:30,0.002
7/8/14 0:45,0.001
7/8/14 1:00,0.002
7/8/14 1:15,0.0
7/8/14 1:30,0.0
7/8/14 1:45,0.0
7/8/14 2:00,0.0
7/8/14 2:15,0.0
7/8/14 2:30,0.0
7/8/14 2:45,0.0
7/8/14 3:00,0.0
7/8/14 3:15,0.0
7/8/14 3:30,0.0
7/8/14 3:45,0.0
7/8/14 4:00,0.0
7/8/14 4:15,0.0
7/8/14 4:30,0.0
7/8/14 4:45,0.0
7/8/14 5:00,0.0
7/8/14 5:15,0.0
7/8/14 5:30,0.0
7/8/14 5:45,0.0
7/8/14 6:00,0.0
7/8/14 6:15,0.0
7/8/14 6:30,0.0
7/8/14 6:45,0.0
7/8/14 7:00,0.0
7/8/14 7:15,0.0
7/8/14 7:30,0.0
7/8/14 7:45,-0.001
7/8/14 8:00,0.003
7/8/14 8:15,0.024
7/8/14 8:30,0.059
7/8/14 8:45,0.106
7/8/14 9:00,0.202
7/8/14 9:15,0.245
7/8/14 9:30,0.259
7/8/14 9:45,0.378
7/8/14 10:00,0.626
7/8/14 10:15,0.635
7/8/14 10:30,0.7
7/8/14 10:45,0.842
7/8/14 11:00,0.947
7/8/14 11:15,1.041
7/8/14 11:30,1.123
7/8/14 11:45,1.225
7/8/14 12:00,1.336
7/8/14 12:15,1.406
7/8/14 12:30,1.488
7/8/14 12:45,1.636
7/8/14 13:00,1.699
7/8/14 13:15,1.765
7/8/14 13:30,1.809
7/8/14 13:45,1.867
7/8/14 14:00,1.651
7/8/14 14:15,1.957
7/8/14 14:30,1.935
7/8/14 14:45,1.946
7/8/14 15:00,1.915
7/8/14 15:15,1.903
7/8/14 15:30,1.899
7/8/14 15:45,1.884
7/8/14 16:00,1.849
7/8/14 16:15,1.811
7/8/14 16:30,1.776
7/8/14 16:45,1.72
7/8/14 17:00,1.674
7/8/14 17:15,1.619
7/8/14 17:30,1.545
7/8/14 17:45,1.475
7/8/14 18:00,1.389
7/8/14 18:15,1.303
7/8/14 18:30,1.207
7/8/14 18:45,1.105
7/8/14 19:00,1.0
7/8/14 19:15,0.896
7/8/14 19:30,0.784
7/8/14 19:45,0.671
7/8/14 20:00,0.555
7/8/14 20:15,0.441
7/8/14 20:30,0.332
7/8/14 20:45,0.232
7/8/14 21:00,0.14
7/8/14 21:15,0.032
7/8/14 21:30,0.011
7/8/14 21:45,-0.006
7/8/14 22:00,-0.015
7/8/14 22:15,-0.006
7/8/14 22:30,0.0
7/8/14 22:45,0.0
